location,category,phone,business_name,website,type,address
Annex,Services,416.978.6849,Bikechain,http://bikechain.utoronto.ca/index.php,Bike Shops,563 Spadina Crescent
Annex,Bookstores,416.964.3803,Ten Editions,https://plus.google.com/116706495692704674790/about?gl=ca&hl=en,Used Books,698 Spadina Ave.
Annex,Services,416.538.2453,Bateman's Bicycle Company,http://batemansbikeco.com,Bike Shops,913 Bathurst St.
Annex,Fashion,416.588.4526 ,Palm Sunday,http://palmsunday.co,Hair Salons,384 Harbord St.
Annex,Restaurants,647.340.6142,Fat Pasha,http://fatpasha.com,Middle Eastern,414 Dupont St.
Annex,Fashion,647.352.7587,Gussied Up,http://gussiedup.ca,Women's Clothing,1090 Bathurst St.
Annex,Restaurants,416.894.7905,Gordo Ex Cafe,https://twitter.com/GordoEXCafe,Latin American,1048 Bathurst St. 
Annex,Design,647.725.5561,Annex Pawn,http://annexpawn.com,Design Accessories,1044 Bathurst St.
Annex,Bars,416.536.0346,Coda,http://codatoronto.com,Dance Club,794 Bathurst St.
Annex,Design,416.532.7031,Elgin Picture and Frame,http://elginpictureandframe.com,Framing Services,665 Dupont St.
Annex,Restaurants,416.901.5901,Harvest Kitchen,http://harvestkitchen.ca,Brunch,124 Harbord St.
Annex,Galleries,416.538.9067,Weird Things,https://facebook.com/weirdthingsweirdthings,Contemporary Art,998 Bathurst Street
Annex,Hotels,416.258.1179,Annex Garden Bed and Breakfast,http://annexgarden.com,Bed and Breakfast,445 Euclid St
Annex,Restaurants,416.901.6791,Napoli Centrale,https://facebook.com/NapoliCentraleTo,Pizza,964 Bathurst St.
Annex,Hotels,416.921.3533,Toronto Downtown Bed and Breakfast ,http://tdbab.com,Bed and Breakfast,57 Chicora Ave
Annex,Cafes,,Super-Jet International Coffee Shop,https://twitter.com/superjetYYZ,,346 Dupont St.
Annex,Restaurants,,Wild Fire Grill (Harbord),,Mediterranean,81 Harbord St
Annex,Restaurants,647.748.3287,Big Crow,http://roseandsonsbigcrow.com,Barbecue,176 Dupont St
Annex,Restaurants,647.352.6030,Playa Cabana Hacienda,http://playacabana.ca/14-dupont,Mexican,14 Dupont St
Annex,Cafes,416.960.2233,Red Fish Blue Fish Creative Cafe,https://facebook.com/RedfishBluefishCreativeCafe,,73 Harbord St.
Annex,Fitness,416.892.9529,Fighting Arts Collective,http://fightingartscollective.com,Martial Arts,972 Dupont St
Annex,Restaurants,416.515.7820,Pita-Q (Bloor and Spadina),,Middle Eastern,750 Spadina Avenue
Annex,Fitness,647.346.7399,Blast Athletic,https://facebook.com/BlastAthleticToronto,Gym,374 Dupont St
Annex,Restaurants,416.532.8785,Ali Baba's (Annex),http://alibabas.ca,Middle Eastern,561 Bloor St. West
Annex,Cafes,416.924.0715,Salt & Pepper,http://salt-peppercatering.com,,287 Davenport Road
Annex,Restaurants,647.748.3287,Rose and Sons,http://roseandsons.ca,Pub Food,178 Dupont St
Annex,Bars,416.925.7775 ,Labyrinth Lounge,,Bar,298 Brunswick Ave
Annex,Bookstores,416.840.4506,Labyrinth Comics,http://animationroadshow.blogspot.ca,Comics,386 Bloor St. West
Annex,Galleries,647.726.2020,A Nerd's World,http://anerdsworld.com,Photography,986 Bathurst Street
Annex,Restaurants,416.921.4600,The Bedford Academy,http://thebedfordacademy.com,Pub Food,36 Prince Arthur Avenue
Annex,Restaurants,416.535.9868,Butler's Pantry (Mirvish Village),http://butlerspantry.ca,Pub Food,591 Markham Street
Annex,Restaurants,416.964.2441,Duke of York,http://york.thedukepubs.ca,Pub Food,39 Prince Arthur Avenue
Annex,Fitness,416.537.6993,Vidya Institute,http://vidyainstitute.com,Yoga,232 Christie Street
Annex,Fashion,416.505.5222,Aroma Wellness Centre and Spa,http://aromawcs.ca/wellness-clinic,Spa,588 Bloor Street West
Annex,Design,647.350.3500,Peaks and Rafters,http://peaksandrafters.com/index.html,Custom and Re-furbished Furniture,585 Dupont Street
Annex,Restaurants,647.351.1188,Noka,http://nokatoronto.com,Sushi,513 Bloor Street West
Annex,Restaurants,647.748.2333,Famoso Neapolitan Pizzeria,http://famoso.ca,Pizza,386 Bloor St. West
Annex,Restaurants,416.539.9009,Sichuan Secret Restobar,http://sichuansecret.com,Chinese,585 Bloor Street West
Annex,Fitness,416.924.6211,Miles Nadal JCC,http://mnjcc.org,Gym,750 Spadina Avenue
Annex,Fashion,416.930.6090,Metsa Studio,http://metsadesign.com/index.html,Men's Clothing,386 Harbord St.
Annex,Design,647.781.2433,Hacher & Krain,http://hacherandkrain.com,Kitchen & Bathroom,256A Dupont St.
Annex,Fitness,647.352.6642,bspoke athletics,http://bspokeathletics.com,Yoga,"374 Dupont Street, 2nd Floor"
Annex,Bookstores,416.537.8334,Parentbooks,http://parentbooks.ca,Children's Books,201 Harbord St.
Annex,Design,647.722.6329,Tosho Knife Arts,http://toshoknifearts.com,Kitchen & Bathroom,934 Bathurst St
Annex,Bookstores,416.533.4000,Toronto's Spanish Bookstore,http://store.bolisbooks.com,Other,872 Bathurst St.
Annex,Restaurants,416.922.6765,Crepes a GoGo (Annex),http://facebook.com/crepesagogoTO,Crepes,750 Spadina Avenue
Annex,Restaurants,647.350.1688,Sakura Japanese Cuisine,,Sushi,394 Bloor St. West
Annex,Fashion,416.820.7477 ,Vintage Grounds,,Women's Vintage,760 Bathurst St
Annex,Bars,416.972.6588,Annex Billiards,,Bar,507 Bloor St W
Annex,Restaurants,647.352.6688,Gobo Sushi,,Sushi,256 Christie St.
Annex,Restaurants,416.968.8816,Sweet Fantasies,,Ice Cream,398 Bloor St. West
Annex,Restaurants,647.346.2917,Yoyo's Yogurt Cafe,http://yoyosyogurtcafe.com,Frozen Yogurt,417 Bloor St. West
Annex,Fitness,416.922.9642,Ahimsa Yoga,http://ahimsayogacentre.com,Yoga,440 Bloor St. West
Annex,Fitness,416.922.5852,Kula Yoga Studio,http://mykulatoronto.ca,Yoga,304 Brunswick Avenue
Annex,Restaurants,416.588.2873,Smoke's Poutinerie (Annex),http://smokespoutinerie.com,Poutine,490 Bloor St. West
Annex,Restaurants,416.923.7680,Kilgour's Bar Meets Grill,,Pub Food,509 Bloor St. West
Annex,Restaurants,416.929.3911,Playa Cabana,,Mexican,111 Dupont St.
Annex,Restaurants,,Ziggy's,,Falafel,794 Bathurst St.
Annex,Services,416.588.5767,Queen Video (Bloor St.),,Movie Rental,480 Bloor Street
Annex,Fashion,416.548.8881,About Design Corp,http://aboutdesigncorp.com,Women's Clothing,1042 Bathurst St.
Annex,Design,647.347.9344,Burnett,http://burnettstyle.com,Vintage Furniture,1052 Bathurst Street
Annex,Galleries,647.348.5110,Barbara Edwards Contemporary,http://becontemporary.com,Contemporary Art,1069 Bathurst St.
Annex,Design,416.922.9055,Nella Cucina,http://nellacucina.ca/home.html,Kitchen & Bathroom,876 Bathurst Street
Annex,Galleries,416.806.5931,Ideas Incorporated,http://ideasincorporated.ca,Contemporary Art,1081 Bathurst St.
Annex,Services,416.533.4225,Sweet Pete's (Annex),http://sweetpetes.com,Bike Shops,517 Bloor St. West
Annex,Restaurants,416.535.2493,John's,http://johnsitaliancaffe.com,Italian,1048 Bathurst St.
Annex,Restaurants,416.537.4417,Ghazi Juice & Desserts,http://ghazale.ca,Juice Bar,508 Bloor St. West
Annex,Restaurants,416.531.8064,Mayday Malone's,,Pub Food,1078 Bathurst St.
Annex,Services,416.920.4933,Curbside Cycle,http://store.curbside.on.ca,Bike Shops,412 Bloor Street West
Annex,Services,416.532.6392,The Bike Joint,http://thebikejoint.com/index.html,Bike Shops,290 Harbord Street
Annex,Restaurants,647.343.1101,Kinka Izakaya (Bloor),http://kinkaizakaya.com,Japanese,559 Bloor St. West
Annex,Galleries,416.538.0868,918 Bathurst,http://918bathurst.com,Contemporary Art,918 Bathurst
Annex,Fitness,416.691.7575,Bikram Yoga (Annex),http://bikramyogatoronto.com,Yoga,208 Bloor St. West
Annex,Fashion,416.533.3139,Skirt,,Women's Clothing,476 Bloor St. West
Annex,Restaurants,416.944.1606,Chadwick's,http://fannychadwicks.ca,Brunch,268 Howland Avenue
Annex,Restaurants,416.963.9595,Noodle Bowl,,Asian,348 Bloor Street West
Annex,Design,416.922.9909,Rose Emporium,http://roseemporiumltd.com,Florist,204 Dupont Street
Annex,Grocery,647.348.8064,Herbs & Nutrition,http://qinaturalfoods.com,Health Food,572 Bloor St. W
Annex,Fitness,416.537.0714,Body Harmonics,http://bodyharmonics.com,Pilates,"672 Dupont Street, Suite 406"
Annex,Fitness,647.477.2374,Shas Yoga & Pilates,http://shas-studio.com,Pilates,329 St George Street #3
Annex,Restaurants,416.921.6787,Kenzo Ramen (Annex),http://kenzoramen.ca,Japanese,372 Bloor St. West
Annex,Restaurants,416.961.7702,Tokyo Sushi (Annex),,Sushi,362 Bloor St. West
Annex,Restaurants,416.920.0195,Indian Kitchen,,Indian,386 Bloor St.
Annex,Restaurants,647.352.0300,Jerk King,http://facebook.com/pages/Jerk-King-Caribbean-Cuisine-Toronto/163003820404884?v=wall,Caribbean,522 Bloor St West
Annex,Restaurants,416.538.8618,Sushi Couture,,Sushi,456 Bloor St. West
Annex,Restaurants,416.967.9670,Hey Lucy (Annex),http://heylucy.ca,Italian,440 Bloor St. West
Annex,Bookstores,416.963.9993,Bakka Phoenix,http://bakkaphoenixbooks.com,Science Fiction,84 Harbord Street
Annex,Restaurants,416.968.9366,Roti Cuisine of India,,Indian,308 Dupont Street
Annex,Cafes,416.585.7958,L'Espresso Bar Mercurio,http://barmercurio.com/aboutLespresso.html,,321 Bloor St. West
Annex,Services,416.961.3111,Remenyi House of Music,http://remenyi.com,Musical Instruments,210 Bloor Street
Annex,Services,416.588.0900,Good For Her,http://goodforher.com,Sex Stores,175 Harbord St.
Annex,Services,416.924.3571,Ring Music,http://ringmusic.com,Musical Instruments,90 Harbord St
Annex,Fashion,416.929.8555,Monsieur Barber Shop & Spa,http://monsieurbarbershopandspa.com,Barber Shops,415 Bloor St. West
Annex,Restaurants,416.944.9061,Burrito Bandidos (Annex),http://burritobandidos.com,Mexican,362 Bloor St. W
Annex,Design,416.538.4462,Pimlico,http://pimlicogallery.com,Design Accessories,789 Dupont Street
Annex,Restaurants,647.340.3558,Akai Sushi,,Sushi,168 Major St
Annex,Services,416.588.1925,Annex Pet Supplies,,Pet Stores and Services,718 Bathurst Street
Annex,Restaurants,416.531.9454,Vinny's Panini,,Sandwiches,787 Dupont Street
Annex,Restaurants,416.588.5928,Universal Grill,http://universalgrill.ca,Brunch,1071 Shaw Street
Annex,Fashion,416.901.5882,Nue,,Women's Clothing,374 Bloor St. West
Annex,Restaurants,416.927.8888,China Garden,,Chinese,200 Bloor Street West
Annex,Bars,416.961.2828,Charlie's Gallery,,Lounge,112 Harbord Street
Annex,Restaurants,647.435.8313,Yuki Japanese Ya,,Sushi,320 Bloor Street West
Annex,Restaurants,416.929.6000,Martino Pizza,,Pizza,178 Dupont St.
Annex,Restaurants,416.967.7687,The Pour House,http://pourhouse.ca,Pub Food,182 Dupont St
Annex,Restaurants,416.516.8883,New Generation Grill Fusion,http://newgenerationgrillfusion.ca,Japanese,486 Bloor St West
Annex,Restaurants,416.531.5426,Japan Sushi,,Sushi,482 Bloor St West
Annex,Restaurants,416.530.5999,E Sushi,http://esushirestaurant.com,Sushi,522 Bloor St. W
Annex,Cafes,416.506.0001,B Espresso Bar (Bloor St.),http://bespressobar.com,,273 Bloor Street West
Annex,Restaurants,416.516.3030,Mariko Japanese Restaurant,,Sushi,551 Bloor St. West
Annex,Cafes,416.535.3500,Rapido,,,1089 Bathurst St
Annex,Fashion,416.534.4900,Marlene's Just Babies,,Kids and Baby,631 Dupont Street
Annex,Restaurants,416.588.8424,Thai Spring Roll,http://thaispringroll.ca,Thai,525 Bloor St. West
Annex,Restaurants,416.536.3946,George's Deli & BBQ,,Churrasqueira,797 Bathurst Street
Annex,Restaurants,416.535.5683,One Love Vegetarian Cafe,,Vegetarian,854 Bathurst St.
Annex,Restaurants,416.921.0995,Le Paradis,http://leparadis.com,French,166 Bedford Rd.
Annex,Bookstores,416.925.1982,Seekers Books,,Used Books,509 Bloor Street West
Annex,Restaurants,416.532.7222,Pizzaiolo,http://pizzaiolo.ca,Pizza,454 Bloor St 
Annex,Grocery,647.430.4942,Chabichou,http://chabichou.ca,Cheese,196 Borden St
Annex,Cafes,416.588.7700,Green Beanery,http://greenbeanery.ca,,565 Bloor Street West
Annex,Grocery,647.343.0315,Nancy's Cheese,http://nancyscheese.com,Cheese,260 Dupont Street
Annex,Fashion,416.978.2431,Hair Place,http://harthouse.utoronto.ca/hh/page.php?id=SVC02,Barber Shops,7 Hart House Circle
Annex,Restaurants,647.430.7365,Harbord House,http://harbordhouse.ca,Pub Food,150 Harbord Street
Annex,Restaurants,416.960.3877,Bar Mercurio,http://barmercurio.com,Italian,270 Bloor Street West
Annex,Design,416.588.7718,Midoco Art and Office Supplies,http://midoco.ca,Art Supplies,555 Bloor Street West
Annex,Design,416.588.9061,Posies,http://posiesflowers.com,Florist,590 Markham Street
Annex,Restaurants,416.975.9986,Sarah's Shawarma and Falafel,,Falafel,487 Bloor St W
Annex,Design,416.861.0521,Commute Home,http://commutehome.com,Contemporary Furniture,367 Dupont
Annex,Grocery,416.923.0956,Stubbe Chocolate,http://stubbechocolates.com,Chocolate,653 Dupont Street
Annex,Bookstores,416.967.5757  ,BMV Books,,Other,471 Bloor Street West
Annex,Restaurants,416.924.7444,Real Thailand,http://itcegroup.net/realthailand,Thai,350 Bloor Street West
Annex,Restaurants,416.537.8513,Annapurna,,Vegetarian,1085 Bathurst St
Annex,Bookstores,416.921.6787,A Different Booklist,http://adifferentbooklist.com,Other,779 Bathurst Street
Annex,Grocery,416.534.1470,Karma Co-Op,http://karmacoop.org,Health Food,739 Palmerston Avenue 
Annex,Fashion,416.538.1234,Secrets from Your Sister,http://secretsfromyoursister.com,Women's Clothing,560 Bloor Street West
Annex,Restaurants,416.929.3253 ,Green Room,,Pub Food,296 Brunswick Street (alley entrance)
Annex,Design,416.923.4308,Alternative Arts,,Framing Services,491 Bloor Street West
Annex,Design,416.964.3330,Clay Design,http://claydesign.ca,Design Accessories,170 Brunswick Avenue
Annex,Restaurants,416.531.2635,Fresh,http://juiceforlife.com,Vegetarian,326 Bloor Street West
Annex,Design,416.534.3904,Twice Found,http://twicefound.com,Design Accessories,608 Markham Street
Annex,Design,416.533.8476,Ten Thousand Villages,http://tenthousandvillages.ca,Design Accessories,474 Bloor Street West
Annex,Design,416.588.1391,East West Futons,http://eastwestfutons.com,Contemporary Furniture,464 Bloor Street West
Annex,Design,416.924.7224,South Hill Home,http://southhillhome.com,Contemporary Furniture,200 Dupont Street
Annex,Cafes,416.929.4400,Ezra's Pound,http://ezraspound.com,,238 Dupont Street
Annex,Grocery,416.968.7930,Noah's Natural Foods,http://noahsnaturalfoods.ca,Health Food,322 Bloor Street West
Annex,Fashion,416.545.0583,Kinna Sohna,http://kinnasohna.com,Women's Clothing,266 Dupont Street
Annex,Bars,416.927.1722,Madison Avenue Pub,http://madisonavenuepub.com,Pub,14 Madison Avenue
Annex,Fashion,416.516.1258,Trove,http://trove.ca,Women's Clothing,791 Bathurst Street
Annex,Fashion,416.960.3325,Risque,,Women's Clothing,404 Bloor Street West
Annex,Bakeries,416.922.5767,Harbord Bakery,,Artisan Bakery,115 Harbord Street
Annex,Fashion,416.850.0175,Theodore 1922,http://theodore1922.com,Men's Clothing,374 Bloor Street West
Annex,Restaurants,416.533.7466,Caribbean Roti Palace,http://rotipalace.com,Roti,744 Bathurst Street
Annex,Restaurants,416.530.1331,Paupers Pub,http://pauperspub.com,Pub Food,539 Bloor Street West
Annex,Restaurants,416.537.4318,Vesta Lunch,,Diner,474 Dupont Street
Annex,Restaurants,416.534.9056,Grapefruit Moon,http://thegrapefruitmoon.com,Brunch,968 Bathurst Street
Annex,Restaurants,416.516.6495,KOS,,Brunch,1070 Bathurst Street
Annex,Restaurants,416.966.6955,"Flip, Toss & Thai Kitchen",,Thai,141 Harbord Street
Annex,Restaurants,416.535.4444,Pizza Gigi,,Pizza,189 Harbord Street
Annex,Restaurants,416.961.7676,Boulevard Cafe,http://boulevardcafe.sites.toronto.com,Latin American,161 Harbord St.
Annex,Restaurants,416.922.6999,Serra,http://serrarestaurant.com,Italian,378 Bloor Street West
Annex,Restaurants,416.922.1188,Cora Pizza,,Pizza,656 Spadina Avenue
Annex,Restaurants,416.961.2222,Papa Ceo,http://papaceo.sites.toronto.com,Pizza,654 Spadina Avenue
Annex,Restaurants,416.516.3456,Sushi on Bloor,http://sushionbloor.com,Sushi,525 Bloor Street West
Annex,Restaurants,416.588.3907,Insomnia,http://insomniacafe.com,Eclectic,563 Bloor Street West
Annex,Restaurants,416.922.5875,Future Bakery,,Eastern European,483 Bloor Street West
Annex,Restaurants,416.536.5966,Country Style Hungarian Restaurant,,Eastern European,450 Bloor St West
Annex,Restaurants,416.925.2225,Harbord Fish & Chips,,Fish 'N Chips,147 Harbord Street 
Annex,Restaurants,416.967.4295,By The Way Cafe,http://bythewaycafe.com,Brunch,400 Bloor Street West
Annex,Restaurants,416.962.4734 ,Greg's Ice Cream,http://gregsicecream.com,Ice Cream,750 Spadina Avenue
Annex,Bars,416.532.1598,Lee's Palace,http://leespalace.com,Live Music,529 Bloor Street West
Annex,Fashion,416.927.9699,Ewanika,http://ewanika.ca,Women's Clothing,1083 Bathurst St.
Annex,Restaurants,416.515.2002,Live Organic Food Bar (Dupont),http://liveorganicfood.ca,Vegetarian,258 Dupont
Annex,Bars,416.923.8137,Tranzac Club,http://tranzac.org,Live Music,292 Brunswick Avenue
Annex,Bakeries,416.534.1294,Kensington Natural Bakery and Cafe,http://kensingtonnaturalbakery.ca,Gluten Free,460 Bloor West
Annex,Cafes,416.535.1555,Faema,,,672 Dupont
Annex,Cafes,416.536.7750,Aroma Espresso Bar,http://aroma.co.il/Aromae/International/canada.aspx,,500 Bloor St. West
Annex,Restaurants,416.963.8861,New Generation Sushi,,Sushi,493 Bloor Street West
Annex,Restaurants,416.537.4417,Ghazale,,Falafel,504 Bloor Street West
Annex,Bars,416.532.1598,Dance Cave,http://leespalace.com/dancecave.html,Dance Club,529 Bloor Street West (2nd Floor)
Annex,Restaurants,416.921.1468,Big Sushi,,Sushi,388 Bloor St. West
Annex,Restaurants,416.840.9988,Thai Basil,,Thai,467 Bloor St West
